iteration,cooling_value,fitness,elapsed_time
0,0.19,0.0,5.18800000004e-06
10,0.19,3.0,6.48569999999e-05
20,0.19,0.0,4.97420000001e-05
30,0.19,1.0,9.5838e-05
40,0.19,0.0,6.16120000001e-05
50,0.19,3.0,6.74710000002e-05
60,0.19,3.0,6.52539999999e-05
70,0.19,6.0,0.000261157
80,0.19,1.0,7.87850000001e-05
90,0.19,0.0,8.49679999999e-05
100,0.19,1.0,4.23380000001e-05
110,0.19,2.0,5.04400000001e-05
120,0.19,4.0,7.66760000002e-05
130,0.19,2.0,8.6504e-05
140,0.19,3.0,0.00018511
150,0.19,1.0,7.58059999999e-05
160,0.19,1.0,8.65459999999e-05
170,0.19,1.0,7.83609999999e-05
180,0.19,2.0,9.37089999999e-05
190,0.19,6.0,8.01930000001e-05
200,0.19,1.0,9.76129999999e-05
210,0.19,1.0,0.00012407
220,0.19,1.0,8.82360000001e-05
230,0.19,3.0,0.000124562
240,0.19,1.0,0.000129463
250,0.19,2.0,0.000145052
260,0.19,5.0,0.00013398
270,0.19,3.0,0.000106436
280,0.19,6.0,0.000201163
290,0.19,3.0,0.000154132
300,0.19,3.0,0.000446065
310,0.19,0.0,0.0001442
320,0.19,3.0,0.000157523
330,0.19,3.0,0.000235499
340,0.19,2.0,0.00015002
350,0.19,4.0,0.002865342
360,0.19,9.0,0.000156673
370,0.19,0.0,0.000150478
380,0.19,5.0,0.000219914
390,0.19,2.0,0.00015799
400,0.19,2.0,0.000442313
410,0.19,2.0,0.00015082
420,0.19,1.0,0.000126423
430,0.19,2.0,0.000137883
440,0.19,1.0,0.000127188
450,0.19,3.0,0.000148581
460,0.19,2.0,0.000147679
470,0.19,5.0,0.000273791
480,0.19,6.0,0.000172547
490,0.19,1.0,0.000169477
500,0.19,3.0,0.000327724
510,0.19,7.0,0.000267614
520,0.19,7.0,0.000224549
530,0.19,2.0,0.000242862
540,0.19,7.0,0.000501906
550,0.19,4.0,0.000380957
560,0.19,5.0,0.000220326
570,0.19,3.0,0.000210036
580,0.19,3.0,0.000228312
590,0.19,4.0,0.000244143
600,0.19,6.0,0.000237889
610,0.19,7.0,0.000280335
620,0.19,7.0,0.000265065
630,0.19,2.0,0.000317258
640,0.19,8.0,0.000287344
650,0.19,7.0,0.000345516
660,0.19,5.0,0.000308648
670,0.19,4.0,0.00039115
680,0.19,6.0,0.000517602
690,0.19,5.0,0.000733423
700,0.19,6.0,0.000711607
710,0.19,13.0,0.000421742
720,0.19,3.0,0.000473974
730,0.19,6.0,0.000682522
740,0.19,6.0,0.000401107
750,0.19,11.0,0.000381121
760,0.19,2.0,0.000349012
770,0.19,3.0,0.000388545
780,0.19,2.0,0.00055444
790,0.19,4.0,0.000518021
800,0.19,3.0,0.000516128
810,0.19,8.0,0.000824462
820,0.19,3.0,0.0004693
830,0.19,8.0,0.000653694
840,0.19,5.0,0.000446691
850,0.19,5.0,0.000593209
860,0.19,5.0,0.000639628
870,0.19,6.0,0.000474427
880,0.19,13.0,0.000602572
890,0.19,10.0,0.000580443
900,0.19,6.0,0.000567156
910,0.19,3.0,0.000554184
920,0.19,5.0,0.000515208
930,0.19,2.0,0.000570513
940,0.19,5.0,0.00072314
950,0.19,4.0,0.000552786
960,0.19,4.0,0.000551682
970,0.19,8.0,0.000580728
980,0.19,2.0,0.000602734
990,0.19,11.0,0.000610709
1000,0.19,6.0,0.000628265
1010,0.19,9.0,0.000629643
1020,0.19,10.0,0.000772475
1030,0.19,9.0,0.001504951
1040,0.19,5.0,0.001361248
1050,0.19,8.0,0.000906857
1060,0.19,7.0,0.000653006
1070,0.19,14.0,0.000673846
1080,0.19,7.0,0.000666341
1090,0.19,2.0,0.000671644
1100,0.19,8.0,0.000678615
1110,0.19,8.0,0.000684467
1120,0.19,10.0,0.000701482
1130,0.19,18.0,0.00072162
1140,0.19,5.0,0.000761166
1150,0.19,2.0,0.000725254
1160,0.19,4.0,0.000753181
1170,0.19,9.0,0.000795312
1180,0.19,8.0,0.000772726
1190,0.19,3.0,0.000769818
1200,0.19,5.0,0.000791658
1210,0.19,9.0,0.000783305
1220,0.19,2.0,0.000862136
1230,0.19,4.0,0.00080173
1240,0.19,4.0,0.001079911
1250,0.19,7.0,0.000817753
1260,0.19,8.0,0.000916027
1270,0.19,10.0,0.001019013
1280,0.19,5.0,0.00089074
1290,0.19,14.0,0.000862625
1300,0.19,15.0,0.00086549
1310,0.19,16.0,0.000873129
1320,0.19,5.0,0.000905227
1330,0.19,14.0,0.000903268
1340,0.19,10.0,0.001130875
1350,0.19,10.0,0.00112339
1360,0.19,10.0,0.00111295
1370,0.19,14.0,0.001131755
1380,0.19,22.0,0.001169856
1390,0.19,3.0,0.001257437
1400,0.19,4.0,0.001168807
1410,0.19,8.0,0.00131828
1420,0.19,4.0,0.00130202
1430,0.19,13.0,0.0013568
1440,0.19,16.0,0.001078892
1450,0.19,16.0,0.001120422
1460,0.19,11.0,0.001274659
1470,0.19,14.0,0.001029142
1480,0.19,10.0,0.001049992
1490,0.19,6.0,0.001129255
1500,0.19,10.0,0.001066362
1510,0.19,1.0,0.001033651
1520,0.19,9.0,0.001045627
1530,0.19,11.0,0.001185011
1540,0.19,9.0,0.001078998
1550,0.19,18.0,0.001106891
1560,0.19,15.0,0.001217365
1570,0.19,9.0,0.00122488
1580,0.19,15.0,0.001120836
1590,0.19,20.0,0.001122939
1600,0.19,10.0,0.001138498
1610,0.19,15.0,0.001161932
1620,0.19,10.0,0.00114196
1630,0.19,12.0,0.001318002
1640,0.19,17.0,0.001492909
1650,0.19,1.0,0.001301547
1660,0.19,6.0,0.001458666
1670,0.19,15.0,0.002033899
1680,0.19,13.0,0.001474146
1690,0.19,10.0,0.001851025
1700,0.19,9.0,0.001693173
1710,0.19,12.0,0.001505008
1720,0.19,13.0,0.001927085
1730,0.19,13.0,0.001258757
1740,0.19,11.0,0.001280556
1750,0.19,10.0,0.002328788
1760,0.19,11.0,0.002112956
1770,0.19,22.0,0.002146971
1780,0.19,11.0,0.001490847
1790,0.19,9.0,0.00195234
1800,0.19,4.0,0.001917519
1810,0.19,11.0,0.002412138
1820,0.19,4.0,0.001555262
1830,0.19,11.0,0.001464446
1840,0.19,9.0,0.0017944
1850,0.19,8.0,0.002249434
1860,0.19,11.0,0.001386102
1870,0.19,21.0,0.001468271
1880,0.19,13.0,0.003701859
1890,0.19,8.0,0.002194749
1900,0.19,9.0,0.001743378
1910,0.19,7.0,0.001439014
1920,0.19,13.0,0.001438749
1930,0.19,10.0,0.001694885
1940,0.19,7.0,0.001668996
1950,0.19,8.0,0.00221637
1960,0.19,6.0,0.002518634
1970,0.19,16.0,0.002258725
1980,0.19,14.0,0.002187252
1990,0.19,12.0,0.002243327
2000,0.19,8.0,0.001557615
2010,0.19,3.0,0.002334753
2020,0.19,10.0,0.002248471
2030,0.19,18.0,0.002275964
2040,0.19,11.0,0.001577337
2050,0.19,10.0,0.001556255
2060,0.19,11.0,0.001691284
2070,0.19,8.0,0.001759565
2080,0.19,9.0,0.002052582
2090,0.19,19.0,0.00159713
2100,0.19,9.0,0.00185322
2110,0.19,13.0,0.001572945
2120,0.19,9.0,0.00164662
2130,0.19,9.0,0.001878098
2140,0.19,15.0,0.00166473
2150,0.19,11.0,0.001708825
2160,0.19,15.0,0.002142763
2170,0.19,5.0,0.001595586
2180,0.19,13.0,0.001715896
2190,0.19,6.0,0.001665956
2200,0.19,14.0,0.001666656
2210,0.19,11.0,0.001724125
2220,0.19,8.0,0.001745712
2230,0.19,13.0,0.001646204
2240,0.19,13.0,0.00174557
2250,0.19,16.0,0.001688278
2260,0.19,15.0,0.001720444
2270,0.19,9.0,0.001739066
2280,0.19,13.0,0.001716547
2290,0.19,13.0,0.001843692
2300,0.19,8.0,0.003447635
2310,0.19,16.0,0.003389072
2320,0.19,22.0,0.003442492
2330,0.19,14.0,0.00332124
2340,0.19,16.0,0.003378793
2350,0.19,16.0,0.004401916
2360,0.19,11.0,0.003096015
2370,0.19,13.0,0.003483602
2380,0.19,24.0,0.004327912
2390,0.19,16.0,0.003816124
2400,0.19,12.0,0.00381135
2410,0.19,19.0,0.004934189
2420,0.19,9.0,0.004549277
2430,0.19,14.0,0.004154957
2440,0.19,29.0,0.003521503
2450,0.19,19.0,0.004226066
2460,0.19,31.0,0.005718833
2470,0.19,19.0,0.003537467
2480,0.19,11.0,0.005140212
2490,0.19,11.0,0.004410451
2500,0.19,8.0,0.003790315
2510,0.19,20.0,0.005241943
2520,0.19,15.0,0.003762032
2530,0.19,5.0,0.004929365
2540,0.19,17.0,0.003755894
2550,0.19,16.0,0.005012539
2560,0.19,9.0,0.007587381
2570,0.19,13.0,0.002724693
2580,0.19,21.0,0.00344127
2590,0.19,17.0,0.002263727
2600,0.19,17.0,0.002123022
2610,0.19,12.0,0.002498564
2620,0.19,20.0,0.00211735
2630,0.19,6.0,0.003091072
2640,0.19,30.0,0.002559988
2650,0.19,10.0,0.002091859
2660,0.19,24.0,0.002171445
2670,0.19,6.0,0.002117647
2680,0.19,13.0,0.002205241
2690,0.19,17.0,0.002193509
2700,0.19,17.0,0.00217683
2710,0.19,11.0,0.002217992
2720,0.19,18.0,0.002176699
2730,0.19,12.0,0.002357565
2740,0.19,5.0,0.002873534
2750,0.19,26.0,0.002388343
2760,0.19,7.0,0.002216149
2770,0.19,27.0,0.002359931
2780,0.19,14.0,0.002333621
2790,0.19,9.0,0.002304545
2800,0.19,9.0,0.002290902
2810,0.19,18.0,0.002320639
2820,0.19,14.0,0.002283501
2830,0.19,17.0,0.002249088
2840,0.19,20.0,0.002284967
2850,0.19,19.0,0.002239051
2860,0.19,14.0,0.002298956
2870,0.19,12.0,0.002251658
2880,0.19,3.0,0.002427634
2890,0.19,12.0,0.002681364
2900,0.19,3.0,0.00236709
2910,0.19,21.0,0.002533986
2920,0.19,11.0,0.002298374
2930,0.19,20.0,0.002323203
2940,0.19,16.0,0.002382155
2950,0.19,16.0,0.002281893
2960,0.19,11.0,0.002352497
2970,0.19,9.0,0.002297337
2980,0.19,13.0,0.002599742
2990,0.19,26.0,0.003367187
3000,0.19,19.0,0.00250277
3010,0.19,14.0,0.00247079
3020,0.19,19.0,0.002503263
3030,0.19,11.0,0.002412489
3040,0.19,15.0,0.002533531
3050,0.19,26.0,0.003065249
3060,0.19,9.0,0.002939279
3070,0.19,24.0,0.003161282
3080,0.19,16.0,0.002510662
3090,0.19,17.0,0.002884218
3100,0.19,12.0,0.004197666
3110,0.19,12.0,0.0030974
3120,0.19,22.0,0.002638843
3130,0.19,25.0,0.003517141
3140,0.19,12.0,0.003224401
3150,0.19,24.0,0.002625237
3160,0.19,22.0,0.003359951
3170,0.19,10.0,0.003511705
3180,0.19,11.0,0.003411896
3190,0.19,16.0,0.003543163
3200,0.19,11.0,0.003105784
3210,0.19,8.0,0.002604913
3220,0.19,15.0,0.002821225
3230,0.19,21.0,0.002986679
3240,0.19,17.0,0.003702706
3250,0.19,15.0,0.002655726
3260,0.19,28.0,0.002973439
3270,0.19,34.0,0.00337789
3280,0.19,26.0,0.002801401
3290,0.19,26.0,0.002669956
3300,0.19,22.0,0.002759706
3310,0.19,13.0,0.002764956
3320,0.19,11.0,0.002844465
3330,0.19,20.0,0.002798219
3340,0.19,49.0,0.002775951
3350,0.19,18.0,0.002731836
3360,0.19,25.0,0.002796718
3370,0.19,7.0,0.002718241
3380,0.19,19.0,0.002840983
3390,0.19,33.0,0.00286488
3400,0.19,22.0,0.003402177
3410,0.19,33.0,0.002724199
3420,0.19,16.0,0.002936456
3430,0.19,10.0,0.002898807
3440,0.19,15.0,0.002985896
3450,0.19,19.0,0.00295614
3460,0.19,24.0,0.002847452
3470,0.19,11.0,0.002952309
3480,0.19,8.0,0.002959245
3490,0.19,26.0,0.002973041
3500,0.19,27.0,0.002873897
3510,0.19,11.0,0.002892118
3520,0.19,44.0,0.003187749
3530,0.19,20.0,0.003033602
3540,0.19,28.0,0.00302911
3550,0.19,24.0,0.002965969
3560,0.19,11.0,0.002928734
3570,0.19,13.0,0.003028584
3580,0.19,31.0,0.003246438
3590,0.19,23.0,0.003809603
3600,0.19,19.0,0.00306305
3610,0.19,48.0,0.00822015
3620,0.19,21.0,0.003521638
3630,0.19,18.0,0.00340157
3640,0.19,18.0,0.004574806
3650,0.19,24.0,0.003398032
3660,0.19,19.0,0.003780089
3670,0.19,15.0,0.003399421
3680,0.19,12.0,0.004275557
3690,0.19,24.0,0.003997851
3700,0.19,23.0,0.003081931
3710,0.19,27.0,0.003416727
3720,0.19,33.0,0.004999236
3730,0.19,20.0,0.003870669
3740,0.19,19.0,0.003378149
3750,0.19,20.0,0.004179428
3760,0.19,16.0,0.003314775
3770,0.19,23.0,0.003481972
3780,0.19,14.0,0.003375447
3790,0.19,24.0,0.004253214
3800,0.19,49.0,0.003771323
3810,0.19,27.0,0.003234544
3820,0.19,20.0,0.003266815
3830,0.19,15.0,0.00385979
3840,0.19,6.0,0.003195571
3850,0.19,18.0,0.003419302
3860,0.19,26.0,0.003410509
3870,0.19,19.0,0.027149385
3880,0.19,18.0,0.003102644
3890,0.19,24.0,0.003258907
3900,0.19,24.0,0.00335841
3910,0.19,10.0,0.003169395
3920,0.19,27.0,0.003135776
3930,0.19,26.0,0.003186336
3940,0.19,32.0,0.003266878
3950,0.19,22.0,0.003300147
3960,0.19,22.0,0.003300075
3970,0.19,59.0,0.003438607
3980,0.19,19.0,0.003300391
3990,0.19,22.0,0.003220401
4000,0.19,23.0,0.003213877
4010,0.19,16.0,0.0036055
4020,0.19,22.0,0.004269607
4030,0.19,36.0,0.004339431
4040,0.19,21.0,0.004521316
4050,0.19,18.0,0.003421698
4060,0.19,39.0,0.003830386
4070,0.19,22.0,0.005242262
4080,0.19,20.0,0.003990873
4090,0.19,25.0,0.004249973
4100,0.19,26.0,0.004607632
4110,0.19,17.0,0.004389513
4120,0.19,26.0,0.004411662
4130,0.19,37.0,0.005075058
4140,0.19,20.0,0.00464484
4150,0.19,24.0,0.003787607
4160,0.19,26.0,0.003853441
4170,0.19,34.0,0.004844167
4180,0.19,37.0,0.003771315
4190,0.19,34.0,0.004593554
4200,0.19,27.0,0.004713084
4210,0.19,17.0,0.004049914
4220,0.19,10.0,0.004612422
4230,0.19,20.0,0.0046354
4240,0.19,23.0,0.004102481
4250,0.19,9.0,0.003674597
4260,0.19,22.0,0.003789276
4270,0.19,21.0,0.003743774
4280,0.19,26.0,0.003562728
4290,0.19,47.0,0.003680612
4300,0.19,8.0,0.003539455
4310,0.19,16.0,0.003815503
4320,0.19,29.0,0.003579228
4330,0.19,14.0,0.004981519
4340,0.19,30.0,0.003643224
4350,0.19,22.0,0.003707944
4360,0.19,29.0,0.003558626
4370,0.19,21.0,0.003588219
4380,0.19,31.0,0.003655699
4390,0.19,27.0,0.003690943
4400,0.19,15.0,0.003668179
4410,0.19,30.0,0.003795822
4420,0.19,28.0,0.005171718
4430,0.19,13.0,0.006661071
4440,0.19,30.0,0.00682012
4450,0.19,23.0,0.007637048
4460,0.19,23.0,0.006716171
4470,0.19,34.0,0.008472398
4480,0.19,16.0,0.008233158
4490,0.19,20.0,0.00850839
4500,0.19,25.0,0.007662663
4510,0.19,28.0,0.009905925
4520,0.19,29.0,0.008597058
4530,0.19,24.0,0.008612673
4540,0.19,14.0,0.007787587
4550,0.19,26.0,0.008431731
4560,0.19,30.0,0.008967741
4570,0.19,16.0,0.009542505
4580,0.19,23.0,0.003947142
4590,0.19,22.0,0.003774422
4600,0.19,20.0,0.003851327
4610,0.19,21.0,0.003785532
4620,0.19,37.0,0.004018459
4630,0.19,22.0,0.003853642
4640,0.19,46.0,0.00413558
4650,0.19,37.0,0.003896637
4660,0.19,31.0,0.005233551
4670,0.19,22.0,0.004039849
4680,0.19,21.0,0.004512346
4690,0.19,24.0,0.005477828
4700,0.19,25.0,0.004111971
4710,0.19,41.0,0.003844615
4720,0.19,18.0,0.004022528
4730,0.19,25.0,0.004116919
4740,0.19,10.0,0.003944985
4750,0.19,23.0,0.004185038
4760,0.19,31.0,0.004060556
4770,0.19,35.0,0.004603029
4780,0.19,23.0,0.004828966
4790,0.19,37.0,0.004466611
4800,0.19,28.0,0.006061068
4810,0.19,17.0,0.004131122
4820,0.19,18.0,0.005437856
4830,0.19,31.0,0.004345991
4840,0.19,23.0,0.004919891
4850,0.19,24.0,0.004749684
4860,0.19,25.0,0.006050869
4870,0.19,16.0,0.003998193
4880,0.19,28.0,0.004610119
4890,0.19,12.0,0.005213363
4900,0.19,36.0,0.004491983
4910,0.19,30.0,0.006016779
4920,0.19,17.0,0.004859364
4930,0.19,17.0,0.004717288
4940,0.19,30.0,0.005141488
4950,0.19,24.0,0.005383853
4960,0.19,28.0,0.004383552
4970,0.19,30.0,0.005032332
4980,0.19,20.0,0.004602021
4990,0.19,22.0,0.004268084
0,0.38,2.0,4.85300000008e-06
10,0.38,3.0,6.84099999981e-06
20,0.38,2.0,1.04360000002e-05
30,0.38,4.0,1.23830000001e-05
40,0.38,2.0,2.66990000002e-05
50,0.38,2.0,1.63190000002e-05
60,0.38,0.0,1.5967e-05
70,0.38,2.0,2.01789999998e-05
80,0.38,2.0,3.62149999997e-05
90,0.38,2.0,2.64419999998e-05
100,0.38,3.0,2.75919999999e-05
110,0.38,0.0,2.8269e-05
120,0.38,4.0,4.04399999998e-05
130,0.38,6.0,3.86849999998e-05
140,0.38,2.0,4.21589999999e-05
150,0.38,2.0,3.66550000002e-05
160,0.38,3.0,6.35040000003e-05
170,0.38,1.0,3.89149999998e-05
180,0.38,3.0,5.22540000003e-05
190,0.38,3.0,5.30240000001e-05
200,0.38,2.0,6.5529e-05
210,0.38,0.0,5.68799999998e-05
220,0.38,2.0,5.07789999999e-05
230,0.38,3.0,0.000112537
240,0.38,2.0,0.000100438
250,0.38,1.0,8.7132e-05
260,0.38,6.0,7.24400000003e-05
270,0.38,2.0,9.3594e-05
280,0.38,4.0,7.9913e-05
290,0.38,6.0,6.92e-05
300,0.38,3.0,8.58399999997e-05
310,0.38,8.0,9.88159999999e-05
320,0.38,1.0,7.88790000001e-05
330,0.38,3.0,0.000108982
340,0.38,7.0,7.70490000002e-05
350,0.38,4.0,9.50390000001e-05
360,0.38,3.0,9.93880000002e-05
370,0.38,0.0,0.000115555
380,0.38,10.0,8.59500000003e-05
390,0.38,8.0,0.000106448
400,0.38,0.0,0.00011806
410,0.38,2.0,0.000130281
420,0.38,3.0,0.000111377
430,0.38,5.0,0.000110182
440,0.38,3.0,0.000129776
450,0.38,5.0,0.000118424
460,0.38,0.0,0.000114113
470,0.38,6.0,0.000126848
480,0.38,4.0,0.00011726
490,0.38,7.0,0.000120848
500,0.38,6.0,0.000118864
510,0.38,3.0,0.000119895
520,0.38,2.0,0.000116652
530,0.38,6.0,0.000150911
540,0.38,2.0,0.000136459
550,0.38,3.0,0.000144458
560,0.38,2.0,0.00014005
570,0.38,2.0,0.000157189
580,0.38,4.0,0.000148752
590,0.38,3.0,0.00015483
600,0.38,5.0,0.000153457
610,0.38,8.0,0.000151132
620,0.38,8.0,0.000160588
630,0.38,9.0,0.000328404
640,0.38,6.0,0.000148304
650,0.38,2.0,0.000216514
660,0.38,7.0,0.000652168
670,0.38,7.0,0.00018129
680,0.38,9.0,0.000175653
690,0.38,7.0,0.000188793
700,0.38,3.0,0.000173467
710,0.38,15.0,0.000200543
720,0.38,6.0,0.000232434
730,0.38,5.0,0.00025151
740,0.38,4.0,0.000232728
750,0.38,4.0,0.000199151
760,0.38,7.0,0.000335369
770,0.38,7.0,0.000198105
780,0.38,1.0,0.000245394
790,0.38,4.0,0.000206218
800,0.38,8.0,0.000246894
810,0.38,6.0,0.000387974
820,0.38,5.0,0.000692663
830,0.38,5.0,0.000245721
840,0.38,2.0,0.000787835
850,0.38,7.0,0.000271915
860,0.38,6.0,0.00028363
870,0.38,2.0,0.000333065
880,0.38,4.0,0.000321869
890,0.38,2.0,0.000306383
900,0.38,9.0,0.000319648
910,0.38,5.0,0.000332965
920,0.38,8.0,0.00034129
930,0.38,9.0,0.000316765
940,0.38,4.0,0.000309231
950,0.38,3.0,0.000378294
960,0.38,14.0,0.00034754
970,0.38,4.0,0.000398888
980,0.38,4.0,0.00039614
990,0.38,12.0,0.000437414
1000,0.38,7.0,0.000453991
1010,0.38,8.0,0.000514601
1020,0.38,10.0,0.00046277
1030,0.38,13.0,0.000426386
1040,0.38,10.0,0.000416548
1050,0.38,4.0,0.000487477
1060,0.38,4.0,0.000548528
1070,0.38,6.0,0.000436124
1080,0.38,8.0,0.000432475
1090,0.38,12.0,0.00045236
1100,0.38,7.0,0.000553972
1110,0.38,5.0,0.000514126
1120,0.38,10.0,0.000586034
1130,0.38,8.0,0.000586721
1140,0.38,9.0,0.000620047
1150,0.38,8.0,0.000508521
1160,0.38,8.0,0.000511122
1170,0.38,5.0,0.00051816
1180,0.38,6.0,0.000523986
1190,0.38,5.0,0.00055513
1200,0.38,6.0,0.000543215
1210,0.38,10.0,0.000551765
1220,0.38,8.0,0.000566147
1230,0.38,6.0,0.000573803
1240,0.38,14.0,0.000585297
1250,0.38,10.0,0.000575659
1260,0.38,10.0,0.000611518
1270,0.38,6.0,0.000620356
1280,0.38,9.0,0.000805277
1290,0.38,9.0,0.000660531
1300,0.38,9.0,0.000660658
1310,0.38,25.0,0.000679144
1320,0.38,6.0,0.000650338
1330,0.38,15.0,0.000714469
1340,0.38,9.0,0.00075645
1350,0.38,13.0,0.000946218
1360,0.38,19.0,0.000997227
1370,0.38,9.0,0.000985872
1380,0.38,10.0,0.001241179
1390,0.38,3.0,0.001444751
1400,0.38,18.0,0.001032823
1410,0.38,4.0,0.001365747
1420,0.38,16.0,0.001172535
1430,0.38,9.0,0.000911908
1440,0.38,8.0,0.001039298
1450,0.38,9.0,0.001044026
1460,0.38,7.0,0.001511017
1470,0.38,12.0,0.000913585
1480,0.38,6.0,0.000899121
1490,0.38,20.0,0.000925842
1500,0.38,14.0,0.000933812
1510,0.38,10.0,0.001164058
1520,0.38,16.0,0.002174062
1530,0.38,12.0,0.001308268
1540,0.38,10.0,0.001413356
1550,0.38,14.0,0.001032984
1560,0.38,5.0,0.001051921
1570,0.38,8.0,0.001032485
1580,0.38,9.0,0.001319025
1590,0.38,10.0,0.001810556
1600,0.38,5.0,0.002341483
1610,0.38,12.0,0.001193224
1620,0.38,38.0,0.001139942
1630,0.38,5.0,0.001117307
1640,0.38,13.0,0.001103508
1650,0.38,11.0,0.001427705
1660,0.38,20.0,0.001347137
1670,0.38,3.0,0.001847566
1680,0.38,17.0,0.001316663
1690,0.38,11.0,0.00163013
1700,0.38,12.0,0.001641766
1710,0.38,4.0,0.001769845
1720,0.38,10.0,0.001781401
1730,0.38,13.0,0.001403523
